State,District,Rainfall,Normal_Rainfall,Rainfall_Departure,Category,Date,Period,Source_Attribution
Maharashtra,Mumbai City,850.5,720.0,18.1,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Mumbai Suburban,920.0,750.0,22.7,Excess,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Thane,980.2,780.0,25.7,Excess,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Palghar,1050.0,820.0,28.0,Excess,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Raigad,1250.4,950.0,31.6,Excess,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Ratnagiri,1420.0,1100.0,29.1,Excess,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Sindhudurg,1380.0,1080.0,27.8,Excess,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Pune,520.4,480.0,8.4,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Satara,490.0,460.0,6.5,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Kolhapur,780.0,690.0,13.0,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Sangli,310.0,340.0,-8.8,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Solapur,280.5,330.0,-15.0,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Nashik,410.0,390.0,5.1,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Dhule,320.0,350.0,-8.6,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Nandurbar,450.0,420.0,7.1,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Jalgaon,360.0,380.0,-5.3,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
